Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"Grateful beyond words to have @PeteButtigieg’s endorsement. A guy of enormous integrity. Someone who has as much moral courage as he has physical courage. Welcome to the team, Mayor Pete.",211,2020-03-03 02:14:00,TweetDeck,27365,3638,joebiden,1234663282868252678,False,https://t.co/nLmO13pYHN,en,March,Q1
"This fall, Donald Trump will be trying to get the Supreme Court to strike down Obamacare — ripping insurance away from 30 million people.

I’ll be fighting to end his administration, and to secure for every American the peace of mind that comes from having affordable health care.",304,2020-03-03 01:24:28,Twitter Web App,8342,2738,joebiden,1234650818776911874,False,https://t.co/RPj0D8jsyI,en,March,Q1
"Proud to have Pete on the trail with me today. Our number one priority is to beat Donald Trump and bring unity back to our party. Together we're gonna make it happen.  Welcome to the team, @PeteButtigieg! Watch live:",240,2020-03-03 00:48:00,Twitter for Advertisers,27602,4332,joebiden,1234641639869755392,False,https://t.co/BAnAkX5oqH,en,March,Q1
Bernie Sanders has gone after nearly every corporation in the world — except the gun manufacturers. It's unacceptable. We need a president with the courage to take them on and ensure they can be held accountable for the carnage they have caused.,269,2020-03-02 23:38:00,Twitter Media Studio,12442,3299,joebiden,1234624024438878208,False,https://t.co/nebCfE05gW,en,March,Q1
"We are in a battle for the soul of this nation — and it's a battle we can't lose. So let's get back up, let's fight back, and let's win.",160,2020-03-02 22:11:00,Twitter Media Studio,23428,6113,joebiden,1234602129970651138,False,https://t.co/UHOyeHlAWy,en,March,Q1
Something is happening in Virginia.,59,2020-03-02 19:45:00,TweetDeck,7050,1135,joebiden,1234565388106633217,False,https://t.co/0uqzMMeYyI,en,March,Q1
Americans can't wait for the false promise of a revolution. We need real change right now.,114,2020-03-02 19:23:00,Twitter Media Studio,8354,2112,joebiden,1234559851281313792,False,https://t.co/cVhYjfMhaO,en,March,Q1
"If you want a Democratic nominee who will:

- Build on Obamacare — not scrap it
- Take on the @NRA and gun manufacturers — not protect them
- Stand up for the middle class — not raise their taxes and make promises that can’t be kept

Then this is your campaign.",261,2020-03-02 17:01:00,TweetDeck,29206,5927,joebiden,1234524116226539523,False,,en,March,Q1
"I'm incredibly honored to have the support of @latinovictoryus. Latinos are the future. They must have a voice — and as president, I will do all in my power to amplify that voice.",203,2020-03-02 15:10:00,Twitter Media Studio,8405,2320,joebiden,1234496181868388357,False,https://t.co/EsdccBqXbW,en,March,Q1
"Selma, thank you for welcoming me back into your community this morning. As we commemorate the anniversary of Bloody Sunday, we also recognize that the struggle for Black Americans to participate in democracy is not over. We have to fight for a more just, equal America—together.",303,2020-03-02 03:01:00,TweetDeck,6253,1296,joebiden,1234312722939908098,False,https://t.co/aJ5ov31WEM,en,March,Q1
"The press and the pundits declared our campaign dead. But after last night's big victory, it's clear we are very much alive.",148,2020-03-02 02:35:00,Twitter Media Studio,6924,1346,joebiden,1234306179804778496,False,https://t.co/eAuSJpdnaw,en,March,Q1
"Yesterday we had our best day of online fundraising on this campaign, raising $5M from tens of thousands of new supporters.

Today, we've already surpassed that total. And we're just getting started. Join us:",232,2020-03-02 01:57:34,Twitter Web App,5573,1581,joebiden,1234296761700823040,False,https://t.co/mAhA5TFPT8,en,March,Q1
".@PeteButtigieg ran a historic, trail-blazing campaign based on courage, compassion, and honesty. We will be a better country for his continued service. This is just the beginning of his time on the national stage.",214,2020-03-02 01:31:35,Twitter Web App,75552,9779,joebiden,1234290223451901954,False,,en,March,Q1
"Together, we will beat Donald Trump.",36,2020-03-02 01:04:00,TweetDeck,36393,4830,joebiden,1234283278925852672,False,,en,March,Q1
"With your help, we won big in South Carolina. Now, we're shifting our focus to winning big on Super Tuesday. I know we can do it, but we need your help to make it happen. 

If you can, please chip in to keep our momentum going:",251,2020-03-02 00:08:00,TweetDeck,3786,1112,joebiden,1234269185993269249,False,https://t.co/rLn0o26a83,en,March,Q1
"South Carolina was just the launching pad. Our campaign is taking off, and we need your help. Head to  to get involved in your community.",184,2020-03-01 21:52:00,Twitter Media Studio,5298,1383,joebiden,1234234960518709248,False,https://t.co/GCxsKwFY4h,en,March,Q1
Only Donald Trump could make the coronavirus about him. This president is dangerous.,108,2020-03-01 20:22:18,Twitter Web App,19443,4556,joebiden,1234212386850136067,False,https://t.co/lYGNrAylDW,en,March,Q1
"I’ve never been more optimistic about America’s future than I am today. If we come together and unite this country, there’s not a single thing we can’t accomplish.",163,2020-03-01 18:05:00,TweetDeck,23068,4035,joebiden,1234177834312036352,False,,en,March,Q1
"When the press, pundits, and our opponents wrote us off, @TeamJoe delivered big.  

This was the launching pad. Now let’s win this thing.",161,2020-03-01 16:52:18,Twitter Media Studio,7731,1904,joebiden,1234159540670795780,False,https://t.co/jLcesHB3tH,en,March,Q1
"Yesterday this campaign raised $5M online, including from tens of thousands of new supporters. You did that. Together, we will do this. We'll get the nomination, defeat Donald Trump and win the battle for the soul of this nation. Chip in to keep us going:",279,2020-03-01 13:57:35,Twitter Web App,9107,2674,joebiden,1234115571245047810,False,https://t.co/pMWsQ06CZt,en,March,Q1
"South Carolina, I can't thank you enough. Tonight's big victory has launched us forward, and we need your help to keep the momentum going.

Please chip in a few dollars if you can — it'll make a big difference:",258,2020-03-01 03:50:00,Twitter Media Studio,23080,4987,joebiden,1233962666298765312,False,https://t.co/3aG5mzOI3W,en,March,Q1
"From climate change to racial justice — @TomSteyer has dedicated his life to making progress on some of the most pressing issues of our time. His presence will continue to be felt in the race, and I look forward to working alongside him to get Donald Trump out of the White House.",280,2020-03-01 03:06:00,TweetDeck,18409,3579,joebiden,1233951593252311041,False,,en,March,Q1
"The press counted us out.

The pundits declared our campaign dead.

But we proved them wrong.",117,2020-03-01 02:47:00,Twitter Media Studio,23128,4509,joebiden,1233946811787669505,False,https://t.co/E5MGBpZ9RR,en,March,Q1
I'm about to take the stage from South Carolina. Tune in to watch live:,95,2020-03-01 01:47:31,Periscope,7414,1525,joebiden,1233931842912342016,False,https://t.co/lrtklurDrY,en,March,Q1
"Just days ago, the press and the pundits declared our campaign dead. But after tonight, it's clear we are very much alive — and we need your help to keep the momentum going.

Chip in to help us make the most of our big victory in South Carolina:",269,2020-03-01 00:10:43,Twitter Web App,6980,1806,joebiden,1233907481388158979,False,https://t.co/93SWSQkpA5,en,March,Q1
