Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,Quarter
"Incredibly proud of my all-star colleague, and friend who has been championing small business in Ontario during #COVID19 while becoming a first-time father. 

Happy First Father’s Day to @PrabSarkaria, and all the great dads in Ontario.",260,2020-06-19 20:59:31,Twitter for iPhone,94,14,fordnation,1274084418081218561,False,https://t.co/wZewkbBkrT,en,June,Q2
"Congratulations to this young, all-star champion! 🏆 

Audrey MacKinnon made Ontario proud by winning the @FoodNetworkCA Junior Chef Showdown. 

Looking forward to being able to congratulate you in the coming months at Queen’s Park Audrey!",262,2020-06-19 20:05:10,Twitter for iPhone,153,14,fordnation,1274070740652961801,False,https://t.co/StUypeDeav,en,June,Q2
"Privacy protection was our number one concern as we develop an app to help Ontario with contact tracing and case management for COVID-19. 

COVID Alert will be available to download soon and notify Ontarians if they’ve been exposed to COVID-19 in the past 14 days.",288,2020-06-19 19:35:36,Twitter for iPhone,120,30,fordnation,1274063299525689344,False,https://t.co/iTJyV2PyZq,en,June,Q2
"Thank you to @HydroOne and @globalmedicdmgf, and our friends at the Metis Nation of Ontario for organizing today’s event. Hydro One has donated 10,000 kits to help 88 First Nation communities across Ontario. I’m blown away by the #OntarioSpirit in this province.

@billwalkermpp",302,2020-06-19 18:47:19,Twitter for iPhone,137,20,fordnation,1274051150984228864,False,https://t.co/lLYDDyyLSb,en,June,Q2
"We will work with Ontario’s school boards to keep children safe when school resumes in September. Today we released our safety plan for the 2020-21 school year, including choice for parents, enhanced online learning, and additional funding.",288,2020-06-19 18:06:58,Twitter for iPhone,219,46,fordnation,1274040994451914760,False,https://t.co/5Knm8TV1hx,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-19 17:07:44,Twitter Media Studio,103,29,fordnation,1274026087715086338,False,https://t.co/cKNNPHYWLq,en,June,Q2
We need to consistently and reliability track cases of #COVID19 in Ontario. That’s why yesterday we announced our enhanced case management and contact tracing strategy. This capacity is critical as we continue to reopen.,244,2020-06-19 11:50:26,Twitter for iPhone,209,39,fordnation,1273946236496871426,False,https://t.co/bcUcBzuLdv,en,June,Q2
"COVID-19 update for June 18, 2020. Check back daily for updates or visit",120,2020-06-18 23:40:10,Twitter for iPhone,67,23,fordnation,1273762458071715846,False,https://t.co/gMeZp5IKu5,en,June,Q2
"We are facing an invisible threat. But, if we test, we can find it. If we track, we can trace it. 

Testing and tracking is critical in stopping #COVID19 in its tracks. That’s why we will continue to strengthen our testing strategy.",256,2020-06-18 23:30:42,Twitter for iPhone,477,62,fordnation,1273760079544795136,False,https://t.co/JcLXkm95Yc,en,June,Q2
"You can't manage what you can't measure. 

Today we announced a new contact tracing strategy that includes a made-in-Ontario, privacy-first app for people to be notified when they’ve been exposed to a COVID-19 risk. 

Learn more:",277,2020-06-18 18:01:08,Twitter for iPhone,241,56,fordnation,1273677137552293888,False,https://t.co/mLZqTelxwy,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-18 17:06:53,Twitter Media Studio,94,21,fordnation,1273663488938868742,False,https://t.co/QJcM7VFyjj,en,June,Q2
"Today the wait is over for families and loved ones across Ontario. With strict safety measures in place, visits will begin to resume in long-term care homes, retirement homes, and group homes.",216,2020-06-18 14:12:19,Twitter for iPhone,266,55,fordnation,1273619557584953345,False,https://t.co/kpVD1UzWFQ,en,June,Q2
"Our government acted swiftly to bring real relief to families and businesses across Ontario when #COVID19 hit. 

We will continue to do everything we can to support the people of this province through this challenging time.",247,2020-06-17 23:35:18,Twitter for iPhone,213,27,fordnation,1273398845985165316,False,https://t.co/xs5U4VabhI,en,June,Q2
"14.5 million people across Ontario answered the call to serve their province in any way that they could. Because of the dedication and perseverance of so many Ontarians, we are seeing the province begin to open and return back to normal. To each of you - thank you.",289,2020-06-17 21:37:41,Twitter for iPhone,729,85,fordnation,1273369247092277248,False,https://t.co/tTnOuEbygJ,en,June,Q2
"When #COVID19 took a toll on people’s livelihoods we took immediate action and provided businesses and families with real relief. 

Thanks to the people of Ontario we’ve made tremendous progress and our province will come back stronger than ever.",296,2020-06-17 18:15:07,Twitter for iPhone,109,25,fordnation,1273318268703592450,False,https://t.co/ajwN4dlmBc,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-17 17:03:04,Twitter Media Studio,109,34,fordnation,1273300137603993600,False,https://t.co/HXlg0tHWxb,en,June,Q2
"When it comes to stopping the spread of #COVID19, we’re focused on detecting and tracing. 

Here in Ontario we’ve now surpassed 1 million tests. 

Thank you to everyone who’s been working to keep our testing and assessment centres running.",263,2020-06-17 15:13:25,Twitter for iPhone,194,40,fordnation,1273272542745243649,False,https://t.co/GC5ZeaGqhp,en,June,Q2
"As Ontario’s hospitality and tourism sector set to reopen again, remember to include our countless incredible destinations in your summer plans. 

Try planning a vacation close to home, and support your local tourism economy. 

@MacLeodLisa",264,2020-06-17 14:01:53,Twitter for iPhone,149,43,fordnation,1273254540633145344,False,https://t.co/7pGw020Ems,en,June,Q2
We want to give businesses the tools and resources to navigate our new reality. We’ve developed a digital toolbox of resources that businesses can use to develop a health and safety business plan to keep staff and customers safe as we reopen Ontario.,298,2020-06-16 22:05:03,Twitter for iPhone,116,27,fordnation,1273013747980931083,False,https://t.co/UT7P5sPXf8,en,June,Q2
"Here in Ontario, we have the brightest minds and hardest workers. 

Let’s support local business, industry, and tourism by exploring and spending in our own backyard.",190,2020-06-16 20:44:11,Twitter for iPhone,620,107,fordnation,1272993395712106496,False,https://t.co/2TllNj8g2H,en,June,Q2
"We are committed to improving access to high quality healthcare here in Ontario. 

Today I was joined by @celliottability, the Cortellucci family, and members from @MackenzieHealth to celebrate the brand new Cortellucci Vaughan Hospital, opening in 2021.

@sflecce @MichaelTibollo",304,2020-06-16 19:42:31,Twitter for iPhone,176,24,fordnation,1272977877257072640,False,https://t.co/DqsQ7k4NJ1,en,June,Q2
"Safety is top of mind as we reopen. Today we launched a new guide to help businesses develop safety plans, including these steps: 
✅Identify risks
✅Determine next steps
✅Creating a plan 
✅Implementation 
✅Communication to staff and customers",290,2020-06-16 17:47:58,Twitter for iPhone,72,28,fordnation,1272949051416248328,False,https://t.co/5oWhnwHxQ8,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-16 16:37:13,Twitter Media Studio,121,29,fordnation,1272931247354978307,False,https://t.co/oOO6jPrxoV,en,June,Q2
"Yesterday I spoke to @AM980News about Ontario’s booming economy pre-COVID19. 

But thanks to the ingenuity and determination of Ontario’s business leaders we have full confidence our economy will bounce back stronger than ever.",251,2020-06-16 14:11:11,Twitter for iPhone,97,18,fordnation,1272894495605096460,False,https://t.co/2nYS1aTLGd,en,June,Q2
"Public health trends across the province are moving in the right direction. On Friday June 19, seven more regions in Ontario will move to Stage 2 of reopening. We’re making steady progress to rebuild and reopen as soon as possible.",255,2020-06-16 12:36:30,Twitter for iPhone,318,57,fordnation,1272870669118853120,False,https://t.co/LGY6AzmY5Q,en,June,Q2
"Our mobile testing centre is going to be in Peterborough tomorrow from 10am to 4:30pm. 

If you’re in the area and feel you need a #COVID19 test, please stop by. 

Address: 2893 Highway 28",188,2020-06-16 01:30:56,Twitter for iPhone,232,56,fordnation,1272703171106873345,False,,en,June,Q2
"COVID-19 update for June 15, 2020. Check back daily for updates or visit",120,2020-06-16 00:14:35,Twitter for iPhone,135,39,fordnation,1272683959084859392,False,https://t.co/gMeZp5IKu5,en,June,Q2
"Our mobile testing centre is going to be in Bolton tomorrow from 10am to 6pm. 

If you’re in the area and feel you need a #COVID19 test, please stop by. 

Address: 150 Queen St. S",179,2020-06-15 22:12:48,Twitter for iPhone,161,42,fordnation,1272653312014331906,False,,en,June,Q2
"We are committed to ongoing supports for survivors of human trafficking. As part of our anti-human trafficking strategy we’ve announced specialized, trauma-informed, community based supports including $19M for Indigenous-led initiatives.",286,2020-06-15 19:34:54,Twitter for iPhone,135,26,fordnation,1272613571734786049,False,https://t.co/6roKHrs2oE,en,June,Q2
"This Friday, June 19th at 12:01am, 7 more regions will enter Stage 2. 
* Durham 
* Haldimand-Norfolk 
* Halton 
* Hamilton 
* Lambton 
* Niagara 
* York",201,2020-06-15 17:52:16,Twitter for iPhone,575,159,fordnation,1272587743315492865,False,https://t.co/Dd3aMUciY5,en,June,Q2
Premier Ford Provides a COVID-19 Update,63,2020-06-15 17:02:11,Twitter Media Studio,151,41,fordnation,1272575141722165250,False,https://t.co/O2k0vxLLel,en,June,Q2
"I’ll be catching up with local radio stations this morning in London, Durham, and Hamilton. Tune in for a local update: 

@AM980News 
@CKDOradio 
@KX96 
@949TheRock
@KX947",195,2020-06-15 12:22:36,Twitter for iPhone,88,22,fordnation,1272504780640980992,False,https://t.co/FSR7kTQBhb,en,June,Q2
"Follow these 5 steps from @celliottability to build a safe social circle. 

A social circle is a group of set people who you do not have to social distance with.",185,2020-06-14 14:46:31,Twitter for iPhone,337,85,fordnation,1272178609374011394,False,https://t.co/BArMvsQV5t,en,June,Q2
"Social circles will allow family and friends to be close to one another again. This means being able to hug a grandparent, or dine with close friends.

As we continue to ease restrictions we must continue to be on guard and vigilant in preventing COVID-19.",280,2020-06-13 18:55:58,Twitter for iPhone,455,61,fordnation,1271878998998626305,False,https://t.co/j9Do8rI5K8,en,June,Q2
On behalf of Ontario I want to wish Her Majesty The Queen Elizabeth II a Happy Official Birthday. Long may she reign! God save the Queen. @RoyalFamily,174,2020-06-13 17:17:18,Twitter for iPhone,4209,429,fordnation,1271854168962224128,False,https://t.co/Szqm8UEkAT,en,June,Q2
"As we end a week of downward trends in cases and record-highs in testing numbers and negative results, I want to thank the 14.5 million people of Ontario. 

Your commitment and sacrifice means we have saved lives. Thank you.",248,2020-06-13 13:13:08,Twitter for iPhone,1301,155,fordnation,1271792724082114561,False,https://t.co/vTO6DhvibY,en,June,Q2
"COVID-19 update for June 12, 2020. Check back daily for updates or visit",120,2020-06-13 01:37:16,Twitter for iPhone,222,60,fordnation,1271617600661917697,False,https://t.co/gMeZp5IKu5,en,June,Q2
"Across the province, many businesses reopened their doors today. Malls, patios, barber shops and salons, along with many cultural and recreational activities. 

This weekend, please support your local businesses and support Ontario getting back to work.",277,2020-06-12 21:57:01,Twitter for iPhone,498,65,fordnation,1271562175107268610,False,https://t.co/QNfJ5pXQwn,en,June,Q2
"Today my colleague @ToddSmithPC announced $1 million to provide meals, grocery gift cards or food bank support to families with school-age children. We will continue to make the well-being of children and families a top priority.",253,2020-06-12 19:50:33,Twitter for iPhone,125,22,fordnation,1271530348418039808,False,https://t.co/dWEaRFdb8h,en,June,Q2
"After months of separation, we are finding ways to bring family and friends together safely. 

Today’s, we introduced new public health guidelines on social circles. This means finally hugging a grandparent or sharing a meal with close friends

Learn more:",304,2020-06-12 17:41:25,Twitter for iPhone,403,130,fordnation,1271497851185627137,False,https://t.co/JwgT3YU7L7,en,June,Q2
Premier Ford Provides a COVID-19 Update:,64,2020-06-12 17:02:43,Twitter for iPhone,64,13,fordnation,1271488112804466689,False,https://t.co/oio3xvcVGw,en,June,Q2
