Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter
"I was saddened to hear of the passing of Representative Howard Nielson this morning. He was a tremendous example of compassionate leadership, a tireless worker, and a brilliant statistician. Our thoughts and prayers are with his family at this time.",273,2020-05-20 22:35:35,Twitter Web App,37,7,GovHerbert,1263236959700303872,,60688326,False,https://t.co/UBlE0XYUYm,en,May,Q2
It will also help Utah populations that have been disproportionately impacted by COVID-19: those with high health risks and those in our multicultural community.,161,2020-05-20 20:01:50,Twitter Web App,37,3,GovHerbert,1263198268437102592,60688326.0,60688326,False,,en,May,Q2
"Utah Leads Together 3.0 offers a bold vision for how to match recovery efforts with powerful economic trends that will drive future economic growth, improve our quality of life, and leave Utah economically and socially stronger than before.",240,2020-05-20 20:01:50,Twitter Web App,35,5,GovHerbert,1263198267749236736,60688326.0,60688326,False,,en,May,Q2
"By flattening the curve of infection, we have saved lives, protected precious health care resources, and built significant capacity to help prevent and manage any potential resurgence of infection.",197,2020-05-20 20:01:50,Twitter Web App,25,1,GovHerbert,1263198267044589568,60688326.0,60688326,False,,en,May,Q2
Today I am excited to share with you Version 3 of our Utah Leads Together Plan. This builds upon Versions 1 and 2 to plant the seeds for statewide recovery.,156,2020-05-20 20:01:50,Twitter Web App,85,12,GovHerbert,1263198266327330816,,60688326,False,,en,May,Q2
Today I am pleased to announce the appointment of Ron Allen to the Utah Public Service Commission. Ron’s prior experience in the Utah State Senate and on the Public Service Commission will prove to be a valuable asset.,218,2020-05-20 18:14:25,Twitter Web App,24,1,GovHerbert,1263171235300511744,,60688326,False,,en,May,Q2
The Utah Senate has confirmed the following Governors appointments to the newly-formed Utah Board of Higher Education. #utpol,149,2020-05-18 23:58:43,TweetDeck,54,13,GovHerbert,1262533104918343681,,60688326,False,https://t.co/W79WMkEm6R,en,May,Q2
Today the First Lady and I were able to join President Donald Trump and First Lady Melania Trump as well as  governors and first spouses on a call focused on improving mental health. #utpol,213,2020-05-18 21:07:01,Twitter for iPhone,204,6,GovHerbert,1262489894070349826,,60688326,False,https://t.co/nE7uDKy4Ef,en,May,Q2
"We can all support Utah agriculture and businesses. Shop local, and wear a mask!",104,2020-05-15 21:59:16,Twitter for iPhone,338,17,GovHerbert,1261415882250567680,,60688326,False,https://t.co/qvEYt8lrpQ,en,May,Q2
"This morning, members of Utah's Incident Command met with minority party leadership in the House and Senate. Grateful to all of our legislators for their commitment and partnership in the fight against COVID-19. #utcovid19",246,2020-05-15 18:59:23,Twitter Web App,48,3,GovHerbert,1261370610380242944,,60688326,False,https://t.co/JgqVual0sK,en,May,Q2
