,Tweets,Length,Date,Source,Favourites,RTs,Language,isRT,Month
244,"One of our country’s most distinguished public servants, Allan Gotlieb was known for his generosity and kindness. As an ambassador, deputy minister, author, and mentor, he contributed so much to Canada. I’m sending my deepest condolences to all of his loved ones and colleagues.",278,2020-04-20 23:37:58,Twitter for iPhone,1556,158,en,False,March
246,"To the children who lost a grandparent, the parents who lost a child, and the neighbour who lost a friend, we’re standing with you. We’re mourning these tragic losses with you. And we’re keeping all of you in our thoughts. https://t.co/Nq67jekDYn",246,2020-04-20 20:16:58,Twitter for iPhone,9057,1317,en,False,March
248,"Aileen Carroll served the people of Barrie, Ontarians, and all Canadians with dedication and compassion. Her impact extends right across the country and her legacy will live on. My thoughts are with her family, friends, and all her colleagues who are mourning her passing.",272,2020-04-20 19:39:03,Twitter for iPhone,1373,162,en,False,March
251,"This morning, I’m speaking about the terrible events that unfolded in Nova Scotia. In the face of tragedy, Canadians always pull together and support each other, and that’s what we need to do now. https://t.co/zZEvLm6Qs6",220,2020-04-20 15:16:38,Twitter for iPhone,1884,325,en,False,March
255,"To those who lost loved ones following the senseless violence in Nova Scotia, and to the @RCMPNS family mourning the loss of Cst. Heidi Stevenson, know Canadians across the country are mourning with you - and are here to support you through this tragedy. https://t.co/J6TM2od0Le",278,2020-04-19 22:47:08,Twitter for iPhone,6100,1472,en,False,March
257,"I’ve been in contact with Premier @StephenMcNeil, the @CommrRCMPGRC, Minister @BillBlair, and @ZannLenore. I’d like to thank first responders for their work - you have our sincere gratitude for all that you do.",210,2020-04-19 19:12:57,Twitter for iPhone,2083,245,en,False,March
258,"Our hearts go out to everyone affected by the shooting in Nova Scotia. To the Portapique community, we’re keeping all of you in our thoughts. And on behalf of all Canadians, I want you to know that we’re here for you - and we’ll be here for you in the days and weeks ahead.",273,2020-04-19 19:12:57,Twitter for iPhone,22301,4131,en,False,March
261,"We’re working around the clock to keep you safe and get you the support you need during the COVID-19 pandemic, and today I’m giving an update on our government’s response. Watch it here: https://t.co/OSNvYAmsGP",210,2020-04-19 15:19:26,Twitter for iPhone,1126,203,en,False,March
263,"In times like these, kindness and compassion are more important than ever. So to Orthodox Christians observing Easter today, please take care of each other by staying home and finding new ways to celebrate. I’m wishing you all a day full of hope and peace. https://t.co/HNu2o7ufc7",280,2020-04-19 14:00:55,Twitter for iPhone,1612,284,en,False,March
265,"To the millions of volunteers who are stepping up to help their fellow Canadians: Thank you. However you’re giving back, you’re making our country a better place and playing a vital role in getting us through this crisis. We’re so grateful. #NVW2020 https://t.co/NbUbm7w1bE https://t.co/qYohtwYp9O",297,2020-04-19 13:03:02,Twitter Media Studio,4970,810,en,False,March
273,"We can’t let the progress we’ve made go to waste. And we can’t put lives at risk. So let’s make the right choices, let’s do our part to keep each other and our front line workers safe, and let’s #StayHome. https://t.co/5d8ZxYqMT2",229,2020-04-18 19:04:18,Twitter Media Studio,3400,975,en,False,March
277,"Update on personal protective equipment: Yesterday, two planes full of N95 masks and coveralls arrived in Canada. More shipments will be coming in this weekend with additional medical supplies.",193,2020-04-18 17:53:17,Twitter for iPhone,6782,856,en,False,March
281,"This funding will help thousands of Indigenous businesses access short-term, interest-free loans and non-repayable contributions so they are better positioned to rebound after this crisis. For all the details, click here: https://t.co/UUqKsD2RSn",245,2020-04-18 15:51:47,Twitter for iPhone,537,107,en,False,March
282,"Indigenous businesses provide jobs, goods, and services to communities across the country - and right now they’re also facing unique challenges. So today, we’re announcing $306 million in funding to help them out.",213,2020-04-18 15:51:47,Twitter for iPhone,2476,380,en,False,March
285,We’re taking action to make sure that Indigenous business owners have access to the support they need to get through this crisis. Watch my announcement live for more details: https://t.co/JCpGLYE9HO,198,2020-04-18 15:17:11,Twitter for iPhone,599,110,en,False,March
287,"Great initiative on Vancouver Island! If you’re looking for something to do while staying at home this evening, the #RockForRelief concert sounds like it’ll be worth your time - and it’s all to help those most in need right now. Get more info below and enjoy the show! ⤵️ https://t.co/aSBbPYmAkz",295,2020-04-18 02:00:25,Twitter for iPhone,930,195,en,False,March
291,"Today’s the 38th anniversary of our Charter of Rights and Freedoms. It underpins who we are as a country, and at its heart is the notion of choice. As we confront this pandemic, I’m grateful so many of you have chosen to protect each other and care for one another. #CDNCharter https://t.co/fhWEYZpcQf",301,2020-04-18 01:28:36,Twitter for iPhone,8997,1597,en,False,March
295,"Like all sectors, the arts, culture, and sports sectors have been impacted by COVID-19. But we’re here to help - we’re giving $500 million to @CDNHeritage so people will be able to receive wage support and organizations struggling with cash flow will be able to access financing.",279,2020-04-18 00:43:02,Twitter for iPhone,1480,301,en,False,March
299,"We’re also investing in @Futurpreneur to support young entrepreneurs who are facing challenges due to COVID-19. And to help innovative and early-stage development firms that can’t access existing supports, we’re giving $250 million to the Industrial Research Assistance Program.",278,2020-04-18 00:05:13,Twitter for iPhone,402,67,en,False,March
300,"To help small businesses and the people they employ, we’re giving $962 million to regional development agencies and the Community Futures Network. This means more businesses - including smaller employers based in more rural parts of the country - can get the support they need.",277,2020-04-18 00:05:12,Twitter for iPhone,1191,224,en,False,March
303,"We’re also establishing a $750-million Emission Reduction Fund to create and maintain jobs through pollution reduction efforts right across the country. Combined, we expect the measures announced today will protect and create roughly 10,000 jobs.",246,2020-04-17 23:34:43,Twitter for iPhone,1126,163,en,False,March
304,"Workers in our energy sector are struggling right now because of things beyond their control, including the COVID-19 pandemic. So to help bring people back to work, we’re investing $1.7 billion to clean up orphan and inactive wells in Alberta, Saskatchewan, and British Columbia.",279,2020-04-17 23:34:42,Twitter for iPhone,2589,354,en,False,March
311,"We’ve been taking action to help businesses and organizations across the country keep their doors open and their employees on the payroll. And today, we’re taking further steps to protect jobs and provide support to those feeling the impacts of COVID-19: https://t.co/wETDH8G9jZ",278,2020-04-17 20:12:05,Twitter for iPhone,998,215,en,False,March
