;help;covid19;support;country;canada;across;together;working;spoke;work;business;safe;canadians;food;new;people;update;pandemic;world;thank;details;making;countries;workers;live;watch;emergency;taking;tune;businesses;steps;health;seniors;global;family;jobs;call;talked;giving;prime_minister;provinces;able;keeping;#canadahomeworkhelp;difficult;info;territories;announcing;click;protect;fight;apply;home;owners;focused;phone;morning;wage;economic;virus;benefit;crisis;youll;program;front;response;government;lives;helping;question;times;important;week;families;think;everyone;rent;testing;economies;kids;international;pay;child;whether;latest;communities;economy;increase;challenges;organizations;impacts;virtual;healthy;means;thanks;indigenous;measures;subsidy;canadian;thoughts
steps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;8;2;2;2;2;0;0;2;2;2;4;2;0;0;0;2;2;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;2;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;0;2;0;2;2;2;0;2;2;0;4;0;0;0;2;0;2;2;0;4;0;0;2;2;2;0;2;2;0;2;0;2;4;0;0;2;4;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0
seniors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0
global;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;0;4;6;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0
family;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;4;4;0;4;6;0;4;2;0;0;0;2;0;2;0;0;0;0;0;4;2;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;6;0;0;0;0;2;0;0;0;0;4;2;0;0;0;0;2;4
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;8;0;0;0;4;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;2;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;0;4;0;0;0;2;0;0;0;2;0;0;0;2;2;6;2;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;4;4;0;8;0;0;0;2;0;2;2;2;0;2;2;0;0;2;0;0;0;0;0
talked;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;4;0;2;0;0;0;0;2;0;0;0;0;4;8;4;0;2;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;6;0;4;0;0;0;4;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0
giving;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;4;4;0;0;0;0;0;2;2;0;0;2;6;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;4;2;0;0;0;2;2;0;0;0;0;4;0;0;0;0
prime_minister;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;6;2;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0
