;city;toronto;health;public;covid19;community;housing;new;work;distancing;working;social;response;care;torontos;medical;residents;officer;continue;park;safe;together;services;important;take;home;staff;emergency;critical;torontonians;spread;workers;stay;service;citys;support;next;provincial;essential;vulnerable;part;provide;people;protect;crisis;rail;coronavirus;information;update;prevent;ensure;measures;ontario;deck;safety;shelter;details;step;affordable;budget;homelessness;planning;building;plan;province;risk;government;everyone;prepare;physical;months;week;frontline;advice;strong;confirmed;free;future;year;music;necessary;act;works;sites;days;tomorrow;moment;child;good;west;big;homeless;build;mayor;remains;test;3;downtown;nonstop;supportive
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;2;0;0;0;0;10;2;2;0;0;0;0;0;0;4;2;4;0;0;0;2;2;0;0;0;4;4;0;0;2;2;0;0;2;0;4;0;4;2;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;2;4
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;6;0;16;0;2;2;2;0;2;8;2;2;0;0;2;0;0;6;4;0;2;2;2;0;0;0;2;0;0;4;6;0;0;0;2;2;0;2;2;2;0;10;0;0;2;6;0;6;0;0;2;4;2;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;2;2;0;2;8;0;0;4;2;6;0;0;2;0;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;2;4;2;0;0;0;0;2;0;2;6;2;0;0;4;0;0;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;6;2;4;0;0;6;0;0;2;2;0;4;0;0;2;0;2;0;4;2;4;0;0;4;2;2;0;0;0;0;0;2;2;0;0;0;2;4;0;0;0;2;4;0;2;2;0;0;0;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;0;0;2;6;2;6;2;6;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;4;0;4;8;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;4
rail;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;2;14;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;10;0;0;4;0;0;0;0;0;2;0;2;2;6;0;10;2;0;0;8;8;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;6;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;20;4;0;6;0;2;0;0;2;4;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;18;0;2;0;2;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;0;0;6;0;0;0;0;4;0;4;0;4;2;0;8;0;0;2;0;2;4;0;0;2;0;0;0;0;0;0;0;6;4;0;2;2;0;0;0;0;8;0;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;0;0;0;2;0;0;0;0;0;0;10;0;4;2;0;2;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0;6;2;0;0;0;0;4;0;8;4;2;2;0;6;0
prevent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;2;0;0;2;0;0;0;4;2;2;0;10;4;4;0;2;2;4;0;0;0;0;0;6;2;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;10;2
