;great;president;states;trump;united;people;new;house;american;news;white;federal;government;republican;state;national;thank;world;campaign;country;2016;media;presidential;york;party;administration;big;department;man;obama;americans;democrats;police;story;free;help;investigation;senate;fbi;washington;history;fake;election;bill;killed;former;russia;donald;justice;year;clinton;russian;left;court;called;article;may;another;good;thing;hillary;security;working;attack;protect;bernie;trying;could;program;health;political;nfl;supreme;congress;war;post;bad;law;report;committee;love;china;best;major;work;times;military;thursday;sanders;lot;week;pay;senator;radical;director;trumps;least;america;complete;act
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;2;2;0;2;2;4;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;4
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;4;0;2;4;2;0;2;2;0;2;0;4;0;2;0;0;0;0;0;0
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;22;0;0;2;0;4;0;2;0;0;2;0;0;2;2;2;0;0;2;2;0;0;0;2;0;0;0;2;4;0;0;0;0;2;4;2;2;0;0;0
russian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;4;0;2;2;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;6;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;16;0;0;4;2;2;6
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;26;0;0;2;0;2;0;0;0;0;0;2;0;0;0;4;0;2;0;6;0;0;0;0;2;2;0;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;4;2;0;0;0;0;2;0;4;2;0;0;2;0;0;2;0;0;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;4;0;0;0;0;0;0;4;0;0;0;2;2;0;2;2;0;0;0;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0
another;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;4;2;0;0;2;4;0;0;0;0;2;2;0;2;0;2;2;2;0;2;2;0;2
