;#togetheral;#covid19;#alpolitics;alabamians;al;health;alabama;state;@alpublichealth;thank;people;order;help;visit;great;continue;#askgovivey;care;#stayathome;april;fellow;#ribbonsofhope;support;working;new;crisis;across;learn;@yext;economy;federal;safe;weather;businesses;harris;spread;work;dr;testing;live;resources;taking;program;assistance;important;hope;als;provide;task;social;distancing;team;home;resource;appreciate;take;press;force;members;emergency;efforts;pandemic;please;questions;friends;good;economic;business;stay;coronavirus;committee;hosting;hand;use;still;ppe;remember;partnership;find;watch;tool;local;folks;morning;response;encourage;news;@madeinal;#althanksyou;severe;options;claims;life;wellbeing;practice;responders;30;participate;face;governors
als;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;4;0;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;6;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;4;0;2;2;6;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2
task;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;12;2;0;0;0;0;0;0;2;2;0;0;10;8;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
resource;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;4;2;0;0;2;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0
appreciate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0
