;new;#coronavirus;york;watch;briefing;state;yorkers;daily;giving;ny;health;live;people;testing;nys;help;states;updates;holding;cases;workers;available;closed;federal;covid;thank;public;wear;mask;1130am;captioning;spread;tests;home;stay;positive;work;update;government;et;interpretation;asl;reopening;yesterday;lost;law;police;lives;across;save;virus;working;social;nyc;covid19;hospital;take;still;#newyorktough;essential;order;facts;protect;healthcare;care;support;medical;cant;together;pandemic;stop;masks;reopen;distancing;capacity;country;safe;continue;may;call;1;provide;best;year;hate;act;phase;executive;confirmed;ventilators;#covid19;community;staff;president;good;rate;stand;businesses;lets;honor
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;2;2;0;2;0;0;0;8;0;0;4;0;0;4;0;2;0;4;2;0;0;0;2;2;0;0;0;4;6;0;2;14;8;0;8;0;0;0;8;0;0;2;0;2;2;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;40;4;2;12;0;2;0;6;2;8;0;4;0;8;4;6;2;2;10;2;4;8;0;0;14;2;2;4;0;2;2;0;2;4;0;0;2;0;2;2;4;4;2;2;0;0;0;4;0;0;10
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;4;0;0;2;4;4;4;2;0;2;6;0;2;0;2;4;0;2;2;4;2;4;18;2;2;0;2;2;0;2;0;8;4;4;2;0;0;2;4;0;0;0;0;2;2;2;0
save;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;0;2;2;2;2;8;0;4;0;4;0;4;0;2;6;2;2;12;0;0;10;2;2;2;0;2;2;0;0;4;2;0;2;0;2;0;6;2;2;2;0;0;0;2;0;0;2
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;4;8;2;2;0;2;0;4;0;0;4;6;0;2;0;0;2;2;2;0;0;2;2;0;2;2;2;0;0;0;0;2;2;2;0;0;0;2;2;2;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;6;0;2;0;2;0;0;0;2;2;4;4;4;4;0;4;0;0;6;6;0;4;2;0;4;2;4;2;2;0;2;0;0;0;0;4;0;0;2;0;2;0;0;2;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;2;8;6;0;0;0;8;0;2;2;2;4;46;4;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;4;2;0;0;0;0;4;0;0
nyc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;4;0;0;0;2;0;0;0;0;2;2;4;2;4;0;0;0;2;4;2;0;6;0;2;0;0;0;6;0;4;2;2;2;2;0;0;4;2;0;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;2;2;0;4;4;8;4;2;2;0;2;2;0;0;2;2;0;2;2;0;6;2;4;0;2;0;0;0;2;2;0;0;0;0;2;0;2;2;0;0;0
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;4;2;0;2;0;2;2;0;0;0;2;14;0;2;0;2;0;0;2;2;0;0;0;0;0;2;0;6;0;6;8;2;6;0;0;2;0
