;covid19;help;canada;support;country;work;people;together;canadians;across;safe;spoke;working;new;business;call;workers;update;home;details;live;watch;health;businesses;emergency;world;taking;making;family;thank;everyone;stay;pandemic;response;thanks;morning;giving;economy;click;talked;countries;canadian;continue;protect;focused;fight;benefit;tune;food;subsidy;steps;care;wage;year;communities;friends;impacts;important;measures;earlier;helping;situation;president;spread;families;virus;keeping;apply;announcing;week;international;meeting;able;latest;phone;jobs;difficult;economic;global;thoughts;talk;good;times;hard;million;forward;strong;community;prime_minister;announced;loved;leaders;lives;celebrate;whether;women;front;info;provinces;government
earlier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;4;2;10;2;0;0;4;10;0;0;8;4;0;0;2;6;0;4;0;0;2;0;0;0;2;16;2;0;2;4;0;2;0;0;0;0;2
helping;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;6;0;2;2;4;2;0;0;4;0;0;2;6;0;0;0;6;2;2;0;2;0;2;4;0;0;2;0;0;0;4;0;2;2;2;0
situation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;4;0;0;0;2;2;2;0;10;6;0;2;0;2;0;2;0;0;0;0;4;0;4;6;6;0;2;0;0;0;0;0;2;0;2
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;6;2;0;0;0;16;12;0;6;12;2;0;14;0;0;6;2;2;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;20;2;0;4;2;10;8;0;2;2;0;0;6;0;0;0;0;0;4;2;4;0;0;4;6;0;2;2;0;0;0;2;2;2;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;6;0;2;4;2;2;2;0;2;0;0;8;2;0;4;2;6;2;0;4;0;2;4;0;10;4;0;2;0;0;4;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;8;8;0;2;6;0;0;8;12;0;2;2;2;4;2;2;2;0;8;4;2;2;4;0;0;0;0;2;2;0
keeping;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;4;4;0;0;2;6;0;18;2;0;2;2;0;2;2;2;4;0;4;0;2;2;4;0;0;2;2;2
apply;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;14;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;6;0;0
announcing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;0;10;0;4;0;0;0;0;0;0;0;0;0;0;2;0;12;4;0
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;10;2;4;0;2;2;2;6;0;2;4;4;2;0;2;0;4;6;4;0;2;4;2;4;2;4;2
international;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;8;0;4;6;0;4;0;2;4;4;12;0;0;6;0;0;0;2;0;2;0;2
meeting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;12;4;0;4;4;2;0;0;10;4;0;4;0;0;14;0;0;2;2;0;0;0;0
